Entity Name,Entity ID,Fiscal Year,Annual Required Contributions (ARC),Contributions Made,Percentage of ARC Recognized (%)
City of Pasadena Fire and Police Retirement System,7239,20152016,,0,NULL
City of Pasadena Fire and Police Retirement System,7239,20142015,,0,NULL
City of Pasadena Fire and Police Retirement System,7239,20132014,1164000,1164000,100%
City of Pasadena Fire and Police Retirement System,7239,20122013,0,0,NULL
City of Pasadena Fire and Police Retirement System,7239,20112012,16941000,46600000,275%
City of Pasadena Fire and Police Retirement System,7239,20102011,13582000,8036000,59%
City of Pasadena Fire and Police Retirement System,7239,20092010,14039000,4981704,35%
City of Pasadena Fire and Police Retirement System,7239,20082009,11447482,956097,8%
City of Pasadena Fire and Police Retirement System,7239,20072008,12524839,3193583,25%
City of Pasadena Fire and Police Retirement System,7239,20062007,13755207,3839128,28%
City of Pasadena Fire and Police Retirement System,7239,20052006,12673597,1427573,11%
City of Pasadena Fire and Police Retirement System,7239,20042005,16664701,29068,0%
City of Pasadena Fire and Police Retirement System,7239,20032004,24424572,40127211,164%
City of Pasadena Fire and Police Retirement System,7239,20022003,16971863,212173,1%
City of Piedmont Police and Fire Pension Plan,7224,20152016,,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20142015,,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20132014,,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20122013,,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20112012,,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20102011,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20092010,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20082009,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20072008,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20062007,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20052006,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20042005,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20032004,0,0,NULL
City of Piedmont Police and Fire Pension Plan,7224,20022003,0,0,0%
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20152016,0,5274,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20142015,0,1772,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20132014,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20122013,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20112012,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20102011,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20092010,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20082009,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20072008,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20062007,,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20052006,,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20042005,,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20032004,0,0,NULL
City of Pittsburg Miscellaneous Employees' Retirement System 1962,7226,20022003,0,0,0%
City of Richmond Garfield Pension Plan,7229,20152016,102140,102140,100%
City of Richmond Garfield Pension Plan,7229,20142015,102140,102140,100%
City of Richmond Garfield Pension Plan,7229,20132014,102140,102140,100%
City of Richmond Garfield Pension Plan,7229,20122013,92092,77000,84%
City of Richmond Garfield Pension Plan,7229,20112012,78731,0,0%
City of Richmond Garfield Pension Plan,7229,20102011,76692,76692,100%
City of Richmond Garfield Pension Plan,7229,20092010,76692,76692,100%
City of Richmond Garfield Pension Plan,7229,20082009,72484,72484,100%
City of Richmond Garfield Pension Plan,7229,20072008,72484,72484,100%
City of Richmond Garfield Pension Plan,7229,20062007,73917,73917,100%
City of Richmond Garfield Pension Plan,7229,20052006,73917,73917,100%
City of Richmond Garfield Pension Plan,7229,20042005,62856,0,0%
City of Richmond Garfield Pension Plan,7229,20032004,0,0,NULL
City of Richmond Garfield Pension Plan,7229,20022003,0,0,0%
City of Richmond General Pension Plan,7227,20152016,750016,602970,80%
City of Richmond General Pension Plan,7227,20142015,602970,602970,100%
City of Richmond General Pension Plan,7227,20132014,602970,602970,100%
City of Richmond General Pension Plan,7227,20122013,502278,660992,132%
City of Richmond General Pension Plan,7227,20112012,455662,148186,33%
City of Richmond General Pension Plan,7227,20102011,486092,486092,100%
City of Richmond General Pension Plan,7227,20092010,486092,486092,100%
City of Richmond General Pension Plan,7227,20082009,307948,307948,100%
City of Richmond General Pension Plan,7227,20072008,307948,307948,100%
City of Richmond General Pension Plan,7227,20062007,238264,238264,100%
City of Richmond General Pension Plan,7227,20052006,238264,238264,100%
City of Richmond General Pension Plan,7227,20042005,299319,946476,316%
City of Richmond General Pension Plan,7227,20032004,414098,1153736,279%
City of Richmond General Pension Plan,7227,20022003,329048,756401,230%
City of Richmond Police and Firemen's Pension Plan,7228,20152016,740235,1222197,165%
City of Richmond Police and Firemen's Pension Plan,7228,20142015,740235,740235,100%
Home Gardens Sanitary District Pension Plan,7157,20102011,9831,9831,100%
City of Richmond Police and Firemen's Pension Plan,7228,20132014,740235,740235,100%
City of Richmond Police and Firemen's Pension Plan,7228,20122013,1813721,5021339,277%
City of Richmond Police and Firemen's Pension Plan,7228,20112012,1596771,0,0%
City of Richmond Police and Firemen's Pension Plan,7228,20102011,2477902,0,0%
City of Richmond Police and Firemen's Pension Plan,7228,20092010,2477902,4600000,186%
City of Richmond Police and Firemen's Pension Plan,7228,20082009,2199459,4800000,218%
City of Richmond Police and Firemen's Pension Plan,7228,20072008,2199459,5000000,227%
City of Richmond Police and Firemen's Pension Plan,7228,20062007,2215648,6215648,281%
City of Richmond Police and Firemen's Pension Plan,7228,20052006,2215648,2215648,100%
City of Richmond Police and Firemen's Pension Plan,7228,20042005,2191252,2440857,111%
City of Richmond Police and Firemen's Pension Plan,7228,20032004,2226360,2899909,130%
City of Richmond Police and Firemen's Pension Plan,7228,20022003,2174274,0,0%
City of Ripon Money Purchase Thrift Pension Plan,7255,20152016,0,394727,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20142015,,393611,NULL
Judges' Retirement System I,7205,20092010,1167007000,185389000,16%
City of Ripon Money Purchase Thrift Pension Plan,7255,20132014,,385901,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20122013,,378430,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20112012,,383829,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20102011,,375994,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20092010,,433396,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20082009,0,471585,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20072008,0,440708,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20062007,0,386662,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20052006,0,321328,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20042005,0,283936,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20032004,,262697,NULL
City of Ripon Money Purchase Thrift Pension Plan,7255,20022003,0,232148,NULL
City of Sacramento City Employees' Retirement System,7245,20152016,8645000,8645000,100%
City of Sacramento City Employees' Retirement System,7245,20142015,9183000,9183000,100%
City of Sacramento City Employees' Retirement System,7245,20132014,9649000,9649000,100%
City of Sacramento City Employees' Retirement System,7245,20122013,10573000,10573000,100%
City of Sacramento City Employees' Retirement System,7245,20112012,10361000,10361000,100%
City of Sacramento City Employees' Retirement System,7245,20102011,10547000,10547000,100%
City of Sacramento City Employees' Retirement System,7245,20092010,3431000,3431000,100%
City of Sacramento City Employees' Retirement System,7245,20082009,3159000,3159000,100%
City of Sacramento City Employees' Retirement System,7245,20072008,3534000,3534000,100%
City of Sacramento City Employees' Retirement System,7245,20062007,0,0,NULL
City of Sacramento City Employees' Retirement System,7245,20052006,0,0,NULL
City of Sacramento City Employees' Retirement System,7245,20042005,0,0,NULL
City of Sacramento City Employees' Retirement System,7245,20032004,0,0,NULL
City of Sacramento City Employees' Retirement System,7245,20022003,0,0,0%
City of San Clemente Restated Employees' Retirement Plan,7244,20152016,1018029,1018029,100%
City of San Clemente Restated Employees' Retirement Plan,7244,20142015,994905,994905,100%
City of San Clemente Restated Employees' Retirement Plan,7244,20132014,2481824,2481824,100%
City of San Clemente Restated Employees' Retirement Plan,7244,20122013,2531415,2621927,104%
City of San Clemente Restated Employees' Retirement Plan,7244,20112012,2205393,2183957,99%
City of San Clemente Restated Employees' Retirement Plan,7244,20102011,1695185,1654967,98%
City of San Clemente Restated Employees' Retirement Plan,7244,20092010,1712259,1863810,109%
City of San Clemente Restated Employees' Retirement Plan,7244,20082009,1797535,1625559,90%
City of San Clemente Restated Employees' Retirement Plan,7244,20072008,1422628,1447088,102%
City of San Clemente Restated Employees' Retirement Plan,7244,20062007,1384398,1403761,101%
City of San Clemente Restated Employees' Retirement Plan,7244,20052006,1415358,1205079,85%
City of San Clemente Restated Employees' Retirement Plan,7244,20042005,1305905,953972,73%
City of San Clemente Restated Employees' Retirement Plan,7244,20032004,1285763,903323,70%
City of San Clemente Restated Employees' Retirement Plan,7244,20022003,1043329,518422,50%
City of San Jose Federated City Employees' Retirement System,7249,20152016,129456000,129456000,100%
City of San Jose Federated City Employees' Retirement System,7249,20142015,114751000,114751000,100%
City of San Jose Federated City Employees' Retirement System,7249,20132014,107544000,107544000,100%
City of San Jose Federated City Employees' Retirement System,7249,20122013,103109000,103109000,100%
City of San Jose Federated City Employees' Retirement System,7249,20112012,87082000,87082000,100%
City of San Jose Federated City Employees' Retirement System,7249,20102011,59180000,59180000,100%
City of San Jose Federated City Employees' Retirement System,7249,20092010,54566000,54566000,100%
City of San Jose Federated City Employees' Retirement System,7249,20082009,57020000,57020000,100%
City of San Jose Federated City Employees' Retirement System,7249,20072008,54958000,54958000,100%
City of San Jose Federated City Employees' Retirement System,7249,20062007,51004000,51004000,100%
City of San Jose Federated City Employees' Retirement System,7249,20052006,41267000,41267000,100%
City of San Jose Federated City Employees' Retirement System,7249,20042005,41552000,41552000,100%
City of San Jose Federated City Employees' Retirement System,7249,20032004,39534000,39534000,100%
City of San Jose Federated City Employees' Retirement System,7249,20022003,38411000,38411000,100%
City of San Jose Police and Fire Retirement Plan,7250,20152016,132480000,132480000,100%
City of San Jose Police and Fire Retirement Plan,7250,20142015,129279000,129279000,100%
City of San Jose Police and Fire Retirement Plan,7250,20132014,123583000,123583000,100%
City of San Jose Police and Fire Retirement Plan,7250,20122013,105234000,105234000,100%
City of San Jose Police and Fire Retirement Plan,7250,20112012,121009000,121009000,100%
City of San Jose Police and Fire Retirement Plan,7250,20102011,77918000,77918000,100%
City of San Jose Police and Fire Retirement Plan,7250,20092010,52315000,52315000,100%
City of San Jose Police and Fire Retirement Plan,7250,20082009,53103000,53103000,100%
City of San Jose Police and Fire Retirement Plan,7250,20072008,56372000,56372000,100%
City of San Jose Police and Fire Retirement Plan,7250,20062007,46625000,46625000,100%
City of San Jose Police and Fire Retirement Plan,7250,20052006,43473000,43473000,100%
City of San Jose Police and Fire Retirement Plan,7250,20042005,41835000,41835000,100%
City of San Jose Police and Fire Retirement Plan,7250,20032004,24412000,24412000,100%
City of San Jose Police and Fire Retirement Plan,7250,20022003,23511000,23511000,100%
City of Santa Barbara Police and Fire Pension Fund,7248,20152016,,120000,242%
City of Santa Barbara Police and Fire Pension Fund,7248,20142015,108000,120000,111%
City of Santa Barbara Police and Fire Pension Fund,7248,20132014,108000,0,0%
City of Santa Barbara Police and Fire Pension Fund,7248,20122013,105000,0,0%
City of Santa Barbara Police and Fire Pension Fund,7248,20112012,102000,0,0%
City of Santa Barbara Police and Fire Pension Fund,7248,20102011,149000,717988,482%
City of Santa Barbara Police and Fire Pension Fund,7248,20092010,178000,0,0%
City of Santa Barbara Police and Fire Pension Fund,7248,20082009,178000,0,0%
City of Santa Barbara Police and Fire Pension Fund,7248,20072008,,0,NULL
City of Santa Barbara Police and Fire Pension Fund,7248,20062007,,0,NULL
City of Santa Barbara Police and Fire Pension Fund,7248,20052006,,0,NULL
City of Santa Barbara Police and Fire Pension Fund,7248,20042005,,0,NULL
City of Santa Barbara Police and Fire Pension Fund,7248,20032004,0,0,NULL
City of Santa Barbara Police and Fire Pension Fund,7248,20022003,0,0,0%
Civic San Diego Money Purchase Pension Plan,7202,20142015,0,0,NULL
Civic San Diego Money Purchase Pension Plan,7202,20132014,0,0,NULL
Civic San Diego Money Purchase Pension Plan,7202,20122013,0,0,NULL
Civic San Diego Money Purchase Pension Plan,7202,20112012,247304,220570,89%
Civic San Diego Money Purchase Pension Plan,7202,20102011,262403,222822,85%
Civic San Diego Money Purchase Pension Plan,7202,20092010,274725,274725,100%
Civic San Diego Money Purchase Pension Plan,7202,20082009,302713,302713,100%
Civic San Diego Money Purchase Pension Plan,7202,20072008,300311,300311,100%
Civic San Diego Money Purchase Pension Plan,7202,20062007,283532,283532,100%
Civic San Diego Money Purchase Pension Plan,7202,20052006,260945,260945,100%
Civic San Diego Money Purchase Pension Plan,7202,20042005,241912,241912,100%
Civic San Diego Money Purchase Pension Plan,7202,20032004,229783,229783,100%
Civic San Diego Money Purchase Pension Plan,7202,20022003,213780,213780,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20152016,334235,334235,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20142015,311372,311372,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20132014,297913,297913,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20122013,264621,264621,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20112012,491512,491512,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20102011,524806,524806,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20092010,549449,549449,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20082009,609804,609804,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20072008,587892,587892,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20062007,567065,567065,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20052006,516158,516058,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20042005,483824,483824,100%
Civic San Diego Tax Deferred Annuity Plan,8180,20032004,452860,651618,144%
Civic San Diego Tax Deferred Annuity Plan,8180,20022003,347395,474437,137%
Contra Costa County Employees' Retirement Association,7259,20152016,323720270,323720270,100%
Contra Costa County Employees' Retirement Association,7259,20142015,293760413,293760413,100%
Contra Costa County Employees' Retirement Association,7259,20132014,235017452,235017452,100%
Contra Costa County Employees' Retirement Association,7259,20122013,212321324,212321324,100%
Contra Costa County Employees' Retirement Association,7259,20112012,200388994,200388994,100%
Contra Costa County Employees' Retirement Association,7259,20102011,183950930,183950930,100%
Contra Costa County Employees' Retirement Association,7259,20092010,195613673,195613673,100%
Contra Costa County Employees' Retirement Association,7259,20082009,196929570,206518693,105%
Contra Costa County Employees' Retirement Association,7259,20072008,196929570,196929570,100%
Contra Costa County Employees' Retirement Association,7259,20062007,191448711,191448711,100%
Contra Costa County Employees' Retirement Association,7259,20052006,181592734,300300019,165%
Contra Costa County Employees' Retirement Association,7259,20042005,175924000,118245418,67%
Contra Costa County Employees' Retirement Association,7259,20032004,427822766,427822766,100%
Contra Costa County Employees' Retirement Association,7259,20022003,58319678,57474043,99%
Contra Costa Water District Retirement Plan,7172,20152016,5985000,7553676,126%
Contra Costa Water District Retirement Plan,7172,20142015,5457000,5867005,108%
Contra Costa Water District Retirement Plan,7172,20132014,5457168,5457168,100%
Contra Costa Water District Retirement Plan,7172,20122013,8872881,8872881,100%
Contra Costa Water District Retirement Plan,7172,20112012,3324636,3324636,100%
Contra Costa Water District Retirement Plan,7172,20102011,2700384,2700384,100%
Contra Costa Water District Retirement Plan,7172,20092010,2168156,2168156,100%
Contra Costa Water District Retirement Plan,7172,20082009,1787200,3231402,181%
Contra Costa Water District Retirement Plan,7172,20072008,3327200,1589948,48%
Contra Costa Water District Retirement Plan,7172,20062007,2849000,2848681,100%
Contra Costa Water District Retirement Plan,7172,20052006,1547000,1547253,100%
Contra Costa Water District Retirement Plan,7172,20042005,1442000,1207156,84%
Contra Costa Water District Retirement Plan,7172,20032004,891000,890747,100%
Contra Costa Water District Retirement Plan,7172,20022003,673000,8012666,1191%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20152016,53986,58186,108%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20142015,52403,52403,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20132014,52581,52581,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20122013,40053,40053,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20112012,45357,45357,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20102011,47173,47173,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20092010,36484,36484,100%
Imperial County Employees' Retirement System,7261,20082009,10995667,11106157,101%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20082009,29762,29762,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20072008,31221,31221,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20062007,28036,28036,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20052006,26435,26435,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20042005,25516,25516,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20032004,27791,27791,100%
Corcoran Irrigation District Money Purchase Pension Plan,7191,20022003,29182,29182,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20152016,,201060,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20142015,,198232,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20132014,,188458,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20122013,,179199,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20112012,,172371,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20102011,,169372,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20092010,,143515,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20082009,,142803,100%
County Of San Diego IHSS Public Authority Pension Plan,9555,20072008,,122434,NULL
County Of San Diego IHSS Public Authority Pension Plan,9555,20062007,,90260,NULL
County Of San Diego IHSS Public Authority Pension Plan,9555,20052006,,94286,NULL
Desert Hospital Retirement Protection Plan,7398,20152016,,0,NULL
Desert Hospital Retirement Protection Plan,7398,20142015,,0,NULL
Desert Hospital Retirement Protection Plan,7398,20132014,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20122013,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20112012,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20102011,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20092010,,0,NULL
Desert Hospital Retirement Protection Plan,7398,20082009,,0,NULL
Desert Hospital Retirement Protection Plan,7398,20072008,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20062007,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20052006,0,0,NULL
Desert Hospital Retirement Protection Plan,7398,20042005,,0,NULL
Desert Hospital Retirement Protection Plan,7398,20032004,,0,NULL
Desert Hospital Retirement Protection Plan,7398,20022003,0,0,0%
East Bay Municipal Utility District Employees' Retirement System,7168,20152016,65218000,65218000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20142015,64177000,64177000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20132014,61660000,61660000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20122013,53795000,53795000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20112012,52156000,52156000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20102011,50987000,50987000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20092010,44031000,44031000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20082009,39485000,39485000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20072008,37387000,37387000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20062007,33698000,33698000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20052006,30610000,30610000,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20042005,27669711,27669711,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20032004,23380841,23380841,100%
East Bay Municipal Utility District Employees' Retirement System,7168,20022003,17591272,17591272,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20152016,60898,60898,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20142015,57522,57522,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20132014,56685,56685,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20122013,55487,55487,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20112012,54395,54395,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20102011,54435,54435,100%
Fresno County Employees' Retirement Association,7260,20142015,184213234,184213234,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20092010,52624,52693,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20082009,50763,50763,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20072008,,48610,NULL
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20062007,46213,46213,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20052006,43873,43873,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20042005,48356,48356,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20032004,43243,43243,100%
Eastern Sierra Community Service District Money Purchase Pension Plan,7145,20022003,42194,42194,100%
El Nido Irrigation District Money Purchase Pension and Trust,7194,20062007,,0,NULL
El Nido Irrigation District Money Purchase Pension and Trust,7194,20052006,0,0,NULL
El Nido Irrigation District Money Purchase Pension and Trust,7194,20042005,0,3293,NULL
El Nido Irrigation District Money Purchase Pension and Trust,7194,20032004,,7911,NULL
El Nido Irrigation District Money Purchase Pension and Trust,7194,20022003,,7581,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20152016,,53846,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20142015,,24998,NULL
Fresno Irrigation District Employee Money Purchase Plan,7188,20082009,224087,224087,100%
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20132014,,25207,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20122013,0,24292,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20112012,,22260,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20102011,0,21498,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20092010,0,21032,100%
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20082009,,20411,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20072008,,19661,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20062007,,18910,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20052006,,18097,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20042005,,17394,NULL
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20032004,,16815,NULL
Judges' Retirement System I,7205,20082009,790900000,190510000,24%
Exeter Irrigation District Employees' Money Purchase Pension Plan,7196,20022003,,16118,NULL
Fresno County Employees' Retirement Association,7260,20152016,191529239,191529239,100%
Fresno County Employees' Retirement Association,7260,20132014,165309213,165309213,100%
Fresno County Employees' Retirement Association,7260,20122013,158572420,158572420,100%
Fresno County Employees' Retirement Association,7260,20112012,157869172,157869172,100%
Fresno County Employees' Retirement Association,7260,20102011,130289781,130289781,100%
Fresno County Employees' Retirement Association,7260,20092010,126138168,126138168,100%
Fresno County Employees' Retirement Association,7260,20082009,113959034,113959034,100%
Fresno County Employees' Retirement Association,7260,20072008,97305345,97305345,100%
Fresno County Employees' Retirement Association,7260,20062007,69996591,69996591,100%
Fresno County Employees' Retirement Association,7260,20052006,56663000,56663565,100%
Fresno County Employees' Retirement Association,7260,20042005,56296000,56342754,100%
Fresno County Employees' Retirement Association,7260,20032004,44939000,442949555,986%
Fresno County Employees' Retirement Association,7260,20022003,33583000,33583459,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20152016,225374,225374,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20142015,216142,216142,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20132014,203883,203883,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20122013,253889,241941,95%
Fresno Irrigation District Employee Money Purchase Plan,7188,20112012,674338,238632,35%
Fresno Irrigation District Employee Money Purchase Plan,7188,20102011,240333,240333,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20092010,225928,225928,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20072008,208579,208579,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20062007,193464,193464,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20052006,201322,201322,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20042005,194461,194461,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20032004,173575,173575,100%
Fresno Irrigation District Employee Money Purchase Plan,7188,20022003,173950,173950,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20152016,580794,580794,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20142015,574614,574614,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20132014,573777,573777,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20122013,572766,572766,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20112012,558298,558298,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20102011,,675778,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20092010,,508834,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20082009,,466002,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20072008,0,426647,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20062007,0,365096,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20052006,,379610,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20042005,0,370511,NULL
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20032004,0,374222,100%
Fresno Metropolitan Flood Control District Money Purchase Pension Plan,8618,20022003,,312942,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20152016,,308592,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20142015,,317160,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20132014,,331485,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20122013,,327718,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20112012,,338686,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20102011,,332495,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20092010,,317326,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20082009,0,299879,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20072008,0,287498,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20062007,,280216,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20052006,,273962,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20042005,,258491,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20032004,,243058,NULL
Glenn-Colusa Irrigation District Pension Plan,7190,20022003,,218887,NULL
Golden Gate Transit District Amalgamated Retirement Plan,7144,20152016,6665554,3966894,60%
Golden Gate Transit District Amalgamated Retirement Plan,7144,20142015,6698315,3635094,54%
Golden Gate Transit District Amalgamated Retirement Plan,7144,20132014,6698315,3672582,55%
